,event,key,rt
0,instructions_0,space,30.6846580505
1,instructions_1,space,13.315114975
2,instructions_2,space,35.9561569691
3,instructions_3,space,35.1553809643
4,instructions_4,space,25.5783419609
5,random_event,space,6.32422208786
6,end_of_block,space,7.7924258709
7,random_event,space,4.6223628521
8,end_of_block,space,2.57014513016
9,random_event,space,3.9550178051
10,end_of_block,space,2.1696228981
11,random_event,space,5.03950691223
12,end_of_block,space,8.34310293198
13,random_event,space,3.30421209335
14,end_of_block,space,1.56892085075
15,random_event,space,2.13645505905
16,end_of_block,space,1.41885995865
17,random_event,space,0.751482963562
18,end_of_block,space,1.70247507095
19,random_event,space,0.868512153625
20,end_of_block,space,4.25559091568
21,random_event,space,0.801473140717
22,end_of_block,space,2.25332713127
23,random_event,space,1.30232286453
24,end_of_block,space,1.1185939312
25,random_event,space,0.834807872772
26,end_of_block,space,2.87059497833
27,random_event,space,2.52046990395
28,end_of_block,space,1.46936583519
29,random_event,space,0.667969942093
30,end_of_block,space,3.55470204353
31,random_event,space,0.768395900726
32,end_of_block,space,3.0205950737
33,random_event,space,0.801476955414
34,end_of_block,space,0.935084104538
35,random_event,space,0.784924983978
36,end_of_block,space,0.985012769699
37,end_of_experiment,space,0.768147945404
