,accuracy,better_option_left,block_number,choice_key,reference_IV,reward_IV,rt,running_score_block,running_score_experiment,trial,trial_block,reference_block,reward_trial_better_option,reward_trial_worse_option
0,,True,1,,-,++,3.00320315361,-16.0,1010.0,1,1,-19.2,6.0,3.2
1,,True,1,,-,++,3.00331997871,-11.7,1014.3,2,2,-19.2,8.0,4.3
2,,True,1,,-,++,3.00325393677,-9.1,1016.9,3,3,-19.2,5.6,2.6
3,,True,1,,-,++,3.00311493874,-4.5,1021.5,4,4,-19.2,7.7,4.6
4,,True,1,,-,++,3.0031478405,1.5,1027.5,5,5,-19.2,6.4,6.0
5,,True,1,,-,++,3.00322318077,6.4,1032.4,6,6,-19.2,7.9,4.9
6,,True,1,,-,++,3.00322604179,11.2,1037.2,7,7,-19.2,4.8,4.8
7,,True,1,,-,++,3.00327086449,17.1,1043.1,8,8,-19.2,7.3,5.9
8,,True,1,,-,++,3.00323414803,21.8,1047.8,9,9,-19.2,6.0,4.7
9,,True,1,,-,++,3.00317311287,25.3,1051.3,10,10,-19.2,8.1,3.5
10,,True,1,,-,++,3.00324988365,29.6,1055.6,11,11,-19.2,5.6,4.3
11,,True,1,,-,++,3.00330805779,35.1,1061.1,12,12,-19.2,7.0,5.5
12,1.0,True,1,q,-,++,1.08516407013,42.2,1068.2,13,13,-19.2,7.1,4.6
13,,True,1,,-,++,3.0032119751,48.8,1074.8,14,14,-19.2,8.0,6.6
14,,True,1,,-,++,3.00313091278,52.1,1078.1,15,15,-19.2,8.3,3.3
15,,True,1,,-,++,3.00319886208,59.3,1085.3,16,16,-19.2,7.3,7.2
16,,True,1,,-,++,3.00322198868,65.6,1091.6,17,17,-19.2,6.3,6.6
17,,True,1,,-,++,3.00329494476,70.1,1096.1,18,18,-19.2,10.5,4.5
18,,True,1,,-,++,3.00320196152,75.2,1101.2,19,19,-19.2,8.6,5.1
19,,True,1,,-,++,3.00329184532,79.9,1105.9,20,20,-19.2,7.9,4.7
20,,True,2,,+,-,3.0031311512,19.7,1125.6,21,1,21.2,-1.1,-1.5
21,,True,2,,+,-,3.00317597389,18.6,1124.5,22,2,21.2,-1.0,-1.1
22,,True,2,,+,-,3.00316810608,17.2,1123.1,23,3,21.2,-1.2,-1.4
23,,True,2,,+,-,3.00315308571,15.9,1121.8,24,4,21.2,-1.2,-1.3
24,,True,2,,+,-,3.00317502022,14.6,1120.5,25,5,21.2,-1.3,-1.1
25,,True,2,,+,-,3.00316810608,13.5,1119.4,26,6,21.2,-0.7,-1.1
26,,True,2,,+,-,3.00315308571,12.3,1118.2,27,7,21.2,-0.9,-1.2
27,,True,2,,+,-,3.00322198868,11.1,1117.0,28,8,21.2,-1.1,-1.2
28,,True,2,,+,-,3.00327301025,10.0,1115.9,29,9,21.2,-0.5,-1.1
29,,True,2,,+,-,3.00320911407,8.7,1114.6,30,10,21.2,-0.8,-1.3
30,1.0,True,2,q,+,-,0.96835899353,7.9,1113.8,31,11,21.2,-0.8,-1.1
31,,True,2,,+,-,3.00319600105,6.8,1112.7,32,12,21.2,-1.0,-1.1
32,,True,2,,+,-,3.00324606895,5.6,1111.5,33,13,21.2,-1.2,-0.9
33,,True,2,,+,-,3.00311803818,4.4,1110.3,34,14,21.2,-0.6,-1.2
34,,True,2,,+,-,3.00322699547,3.4,1109.3,35,15,21.2,-1.0,-1.0
35,,True,2,,+,-,3.00317001343,2.3,1108.2,36,16,21.2,-1.1,-1.0
36,,True,2,,+,-,3.00332808495,1.1,1107.0,37,17,21.2,-1.2,-1.0
37,,True,2,,+,-,3.00333094597,-0.1,1105.8,38,18,21.2,-1.2,-0.9
38,,True,2,,+,-,3.00320100784,-1.4,1104.5,39,19,21.2,-1.3,-1.0
39,,True,2,,+,-,3.00322794914,-2.4,1103.5,40,20,21.2,-1.0,-0.7
40,,False,3,,--,-,3.00329208374,-120.0,983.5,41,1,-119.0,-0.9,-1.0
41,,False,3,,--,-,3.00315713882,-121.0,982.5,42,2,-119.0,-0.4,-1.0
