,event,key,rt
0,instructions_0,space,10.0456619263
1,instructions_1,space,20.205958128
2,instructions_2,space,23.0587949753
3,instructions_3,space,21.2737760544
4,instructions_4,space,33.420071125
5,random_event,space,8.27657604218
6,end_of_block,space,6.94145798683
7,random_event,space,6.72472119331
8,end_of_block,space,7.05820083618
9,random_event,space,3.65456008911
10,end_of_block,space,5.45682787895
11,random_event,space,2.30332612991
12,end_of_block,space,8.20959091187
13,random_event,space,3.85483908653
14,end_of_block,space,3.18769097328
15,random_event,space,2.95410203934
16,end_of_block,space,3.70485281944
17,random_event,space,1.61930298805
18,end_of_block,space,2.55347394943
19,random_event,space,1.4354569912
20,end_of_block,space,2.45326209068
21,random_event,space,0.90155005455
22,end_of_block,space,2.10309696198
23,random_event,space,2.08650994301
24,end_of_block,space,1.05200695992
25,random_event,space,0.701359033585
26,end_of_block,space,0.985189914703
27,random_event,space,0.701329946518
28,end_of_block,space,0.968512058258
29,random_event,space,1.58566594124
30,end_of_block,space,0.985151052475
31,random_event,space,0.951642990112
32,end_of_block,space,1.36887598038
33,random_event,space,1.11854600906
34,end_of_block,space,0.717998027802
35,random_event,space,0.918167114258
36,end_of_block,space,0.768393993378
37,end_of_experiment,space,4.48904705048
