,event,key,rt
0,instructions_0,space,13.3323299885
1,instructions_1,space,16.618885994
2,instructions_2,space,30.7838339806
3,instructions_3,space,22.9087429047
4,instructions_4,space,32.4524970055
5,random_event,space,9.16087603569
6,end_of_block,space,8.29302692413
7,random_event,space,7.5422270298
8,end_of_block,space,4.50550889969
9,random_event,space,5.05607891083
10,end_of_block,space,6.24067211151
11,random_event,space,3.40455102921
12,end_of_block,space,4.50567889214
13,random_event,space,3.38760209084
14,end_of_block,space,4.67233204842
15,random_event,space,2.21973896027
16,end_of_block,space,2.9038670063
17,random_event,space,2.01941204071
18,end_of_block,space,3.80482816696
19,random_event,space,3.42115807533
20,end_of_block,space,4.00495290756
21,random_event,space,3.28749108315
22,end_of_block,space,2.20303678513
23,random_event,space,2.63687205315
24,end_of_block,space,3.87154793739
25,random_event,space,2.77030301094
26,end_of_block,space,2.52020907402
27,random_event,space,3.08724308014
28,end_of_block,space,1.40226697922
29,random_event,space,1.8363199234
30,end_of_block,space,4.12172603607
31,random_event,space,1.88601112366
32,end_of_block,space,4.90598082542
33,random_event,space,1.70264101028
34,end_of_block,space,1.71906900406
35,random_event,space,1.3853828907
36,end_of_block,space,1.60240793228
37,end_of_experiment,space,1.7023859024
