,accuracy,better_option_left,block_number,choice_key,reference_IV,reward_IV,rt,running_score_block,running_score_experiment,trial,trial_block,reference_block,reward_trial_better_option,reward_trial_worse_option
0,,True,1,,--,+,3.00325608253,-118.0,908.0,1,1,-119.0,1.4,1.0
1,,True,1,,--,+,3.00327897072,-117.1,908.9,2,2,-119.0,1.4,0.9
2,,True,1,,--,+,3.00318288803,-116.0,910.0,3,3,-119.0,1.1,1.1
3,,True,1,,--,+,3.00318217278,-115.2,910.8,4,4,-119.0,1.0,0.8
4,,True,1,,--,+,3.00323486328,-114.4,911.6,5,5,-119.0,1.0,0.8
5,,True,1,,--,+,3.00331711769,-113.2,912.8,6,6,-119.0,1.2,1.2
6,,True,1,,--,+,3.00327396393,-112.4,913.6,7,7,-119.0,1.2,0.8
7,,True,1,,--,+,3.00326514244,-111.5,914.5,8,8,-119.0,0.9,1.0
8,,True,1,,--,+,3.00315499306,-110.3,915.7,9,9,-119.0,1.2,1.4
9,,True,1,,--,+,3.00320005417,-109.2,916.8,10,10,-119.0,1.1,1.1
10,,True,1,,--,+,3.00325322151,-108.7,917.3,11,11,-119.0,1.1,0.5
11,,True,1,,--,+,3.00324606895,-107.7,918.3,12,12,-119.0,1.0,1.0
12,,True,1,,--,+,3.00324296951,-106.7,919.3,13,13,-119.0,1.0,1.1
13,,True,1,,--,+,3.00321793556,-105.9,920.1,14,14,-119.0,1.0,0.8
14,,True,1,,--,+,3.00310111046,-105.1,920.9,15,15,-119.0,0.8,0.8
15,1.0,True,1,q,--,+,2.62048912048,-104.0,922.0,16,16,-119.0,1.1,0.6
16,1.0,True,1,q,--,+,2.25327706337,-102.9,923.1,17,17,-119.0,1.1,1.1
17,0.0,True,1,p,--,+,0.634801149368,-102.0,924.0,18,18,-119.0,1.3,0.9
18,0.0,True,1,p,--,+,0.317893028259,-101.1,924.9,19,19,-119.0,1.3,0.9
19,1.0,True,1,q,--,+,0.334400892258,-99.9,926.1,20,20,-119.0,1.2,0.8
20,0.0,True,2,p,+,+,2.36992383003,21.4,947.5,21,1,20.5,1.2,0.9
21,1.0,True,2,q,+,+,0.317746162415,22.4,948.5,22,2,20.5,1.0,0.7
22,0.0,True,2,p,+,+,0.18411898613,23.3,949.4,23,3,20.5,1.0,0.9
23,1.0,True,2,q,+,+,0.201091051102,24.4,950.5,24,4,20.5,1.1,0.5
24,0.0,True,2,p,+,+,0.200845956802,25.9,952.0,25,5,20.5,1.2,1.5
25,1.0,True,2,q,+,+,0.184252977371,26.9,953.0,26,6,20.5,1.0,0.9
26,0.0,True,2,p,+,+,0.11736702919,27.9,954.0,27,7,20.5,1.5,1.0
27,1.0,True,2,q,+,+,0.200773000717,28.7,954.8,28,8,20.5,0.8,0.5
28,0.0,True,2,p,+,+,0.167510032654,29.4,955.5,29,9,20.5,1.2,0.7
29,1.0,True,2,q,+,+,0.217759132385,30.7,956.8,30,10,20.5,1.3,0.9
30,0.0,True,2,p,+,+,0.26765704155,31.3,957.4,31,11,20.5,1.3,0.6
31,1.0,True,2,q,+,+,0.267809152603,32.1,958.2,32,12,20.5,0.8,1.0
32,0.0,True,2,p,+,+,0.184990882874,32.9,959.0,33,13,20.5,1.0,0.8
33,1.0,True,2,q,+,+,0.0675599575043,33.7,959.8,34,14,20.5,0.8,0.8
34,0.0,True,2,p,+,+,0.217626810074,34.2,960.3,35,15,20.5,0.7,0.5
35,1.0,True,2,q,+,+,0.18439912796,35.3,961.4,36,16,20.5,1.1,1.0
36,0.0,True,2,p,+,+,0.250866174698,36.4,962.5,37,17,20.5,0.9,1.1
37,1.0,True,2,q,+,+,0.184304952621,38.0,964.1,38,18,20.5,1.6,0.8
38,0.0,True,2,p,+,+,0.234408855438,38.6,964.7,39,19,20.5,1.3,0.6
39,1.0,True,2,q,+,+,1.01863789558,39.6,965.7,40,20,20.5,1.0,1.2
40,0.0,False,3,q,-,--,2.42008781433,-27.6,938.1,41,1,-18.9,-2.8,-8.7
41,1.0,False,3,p,-,--,0.334297895432,-29.4,936.3,42,2,-18.9,-1.8,-8.0
42,0.0,False,3,q,-,--,1.61988401413,-34.9,930.8,43,3,-18.9,-6.9,-5.5
43,1.0,False,3,p,-,--,0.317789077759,-39.5,926.2,44,4,-18.9,-4.6,-7.5
44,0.0,False,3,q,-,--,2.23643302917,-47.7,918.0,45,5,-18.9,-3.3,-8.2
45,,False,3,,-,--,3.00318717957,-55.7,910.0,46,6,-18.9,-8.0,-7.1
46,0.0,False,3,q,-,--,2.15317201614,-63.1,902.6,47,7,-18.9,-5.7,-7.4
47,,False,3,,-,--,3.00324296951,-68.9,896.8,48,8,-18.9,-5.8,-5.0
48,0.0,False,3,q,-,--,2.16987085342,-76.6,889.1,49,9,-18.9,-3.6,-7.7
49,1.0,False,3,p,-,--,2.15303492546,-82.5,883.2,50,10,-18.9,-5.9,-8.6
50,,False,3,,-,--,3.00314879417,-87.6,878.1,51,11,-18.9,-5.1,-4.6
51,,False,3,,-,--,3.00317716599,-94.8,870.9,52,12,-18.9,-4.3,-7.2
52,,False,3,,-,--,3.00318717957,-101.7,864.0,53,13,-18.9,-6.9,-6.9
53,,False,3,,-,--,3.00324583054,-109.9,855.8,54,14,-18.9,-7.6,-8.2
54,1.0,False,3,p,-,--,0.686342000961,-114.7,851.0,55,15,-18.9,-4.8,-6.9
55,,False,3,,-,--,3.00348091125,-121.8,843.9,56,16,-18.9,-3.6,-7.1
56,,False,3,,-,--,3.00336813927,-128.9,836.8,57,17,-18.9,-7.1,-4.9
57,1.0,False,3,p,-,--,0.417627096176,-134.9,830.8,58,18,-18.9,-6.0,-7.6
58,,False,3,,-,--,3.00325107574,-142.0,823.7,59,19,-18.9,-5.2,-7.1
59,0.0,False,3,q,-,--,1.16859507561,-146.3,819.4,60,20,-18.9,-6.1,-4.3
60,1.0,False,4,p,-,--,1.91955709457,-24.6,794.8,61,1,-18.4,-6.2,-4.8
61,0.0,False,4,q,-,--,0.26754117012,-31.2,788.2,62,2,-18.4,-4.5,-6.6
62,1.0,False,4,p,-,--,0.234187841415,-36.6,782.8,63,3,-18.4,-5.4,-6.6
63,0.0,False,4,q,-,--,0.250867843628,-42.0,777.4,64,4,-18.4,-7.7,-5.4
64,1.0,False,4,p,-,--,0.234411001205,-48.1,771.3,65,5,-18.4,-6.1,-7.2
65,0.0,False,4,q,-,--,2.58678197861,-53.8,765.6,66,6,-18.4,-3.7,-5.7
66,1.0,False,4,p,-,--,0.334451913834,-59.6,759.8,67,7,-18.4,-5.8,-7.2
67,0.0,False,4,q,-,--,0.451102972031,-68.6,750.8,68,8,-18.4,-4.3,-9.0
68,1.0,False,4,p,-,--,0.484414100647,-72.8,746.6,69,9,-18.4,-4.2,-8.3
69,0.0,False,4,q,-,--,0.267714977264,-79.7,739.7,70,10,-18.4,-5.2,-6.9
70,0.0,False,4,q,-,--,0.417669057846,-86.3,733.1,71,11,-18.4,-4.9,-6.6
71,1.0,False,4,p,-,--,0.450997829437,-92.4,727.0,72,12,-18.4,-6.1,-5.2
72,0.0,False,4,q,-,--,0.367646932602,-99.2,720.2,73,13,-18.4,-4.8,-6.8
73,1.0,False,4,p,-,--,0.317509889603,-105.2,714.2,74,14,-18.4,-6.0,-9.1
74,1.0,False,4,p,-,--,0.401076078415,-109.7,709.7,75,15,-18.4,-4.5,-7.0
75,1.0,False,4,p,-,--,0.317892074585,-115.2,704.2,76,16,-18.4,-5.5,-5.8
76,1.0,False,4,p,-,--,2.20311307907,-121.2,698.2,77,17,-18.4,-6.0,-6.5
77,,False,4,,-,--,3.00328087807,-129.0,690.4,78,18,-18.4,-5.6,-7.8
78,1.0,False,4,p,-,--,0.451100111008,-134.1,685.3,79,19,-18.4,-5.1,-6.1
79,0.0,False,4,q,-,--,1.30196785927,-141.3,678.1,80,20,-18.4,-6.3,-7.2
80,0.0,True,5,p,--,++,0.818234205246,-105.5,572.6,81,1,-111.0,6.2,5.5
81,1.0,True,5,q,--,++,0.401067972183,-99.9,578.2,82,2,-111.0,5.6,5.3
82,0.0,True,5,p,--,++,0.150781154633,-94.2,583.9,83,3,-111.0,8.2,5.7
83,1.0,True,5,q,--,++,0.267575025558,-87.9,590.2,84,4,-111.0,6.3,5.0
84,0.0,True,5,p,--,++,1.21955299377,-81.7,596.4,85,5,-111.0,7.8,6.2
85,1.0,True,5,q,--,++,0.501132965088,-74.1,604.0,86,6,-111.0,7.6,5.4
86,1.0,True,5,q,--,++,1.38543796539,-66.1,612.0,87,7,-111.0,8.0,6.5
87,0.0,True,5,p,--,++,1.63578510284,-59.4,618.7,88,8,-111.0,8.0,6.7
88,0.0,True,5,p,--,++,0.33442401886,-53.9,624.2,89,9,-111.0,7.3,5.5
89,0.0,True,5,p,--,++,2.53672790527,-51.9,626.2,90,10,-111.0,8.0,2.0
90,1.0,True,5,q,--,++,1.91960215569,-45.9,632.2,91,11,-111.0,6.0,7.9
91,,True,5,,--,++,3.00317406654,-39.1,639.0,92,12,-111.0,6.8,6.8
92,,True,5,,--,++,3.00336909294,-35.5,642.6,93,13,-111.0,6.2,3.6
93,1.0,True,5,q,--,++,2.31986689568,-28.3,649.8,94,14,-111.0,7.2,4.0
94,1.0,True,5,q,--,++,1.25223207474,-19.1,659.0,95,15,-111.0,9.2,5.1
95,0.0,True,5,p,--,++,1.21868896484,-13.7,664.4,96,16,-111.0,6.5,5.4
96,,True,5,,--,++,3.00319600105,-7.4,670.7,97,17,-111.0,7.6,6.3
97,1.0,True,5,q,--,++,2.6368598938,-0.9,677.2,98,18,-111.0,6.5,5.8
