,event,key,rt
0,instructions_0,space,10.0955841541
1,instructions_1,space,13.3818869591
2,instructions_2,space,12.8144619465
3,instructions_3,space,19.5051350594
4,instructions_4,space,17.3694691658
5,random_event,space,6.85829019547
6,end_of_block,space,6.15746593475
7,random_event,space,1.98620891571
8,end_of_block,space,2.97058105469
9,random_event,space,3.02070903778
10,end_of_block,space,1.58564805984
11,random_event,space,1.25217413902
12,end_of_block,space,2.00309300423
13,random_event,space,1.30251789093
14,end_of_block,space,1.00177192688
15,random_event,space,1.18549799919
16,end_of_block,space,1.38564300537
17,random_event,space,1.7859711647
18,end_of_block,space,6.00714492798
19,random_event,space,2.93726205826
20,end_of_block,space,1.38577485085
21,random_event,space,2.75359892845
22,end_of_block,space,1.23542094231
23,random_event,space,0.851516008377
24,end_of_block,space,0.901784181595
25,random_event,space,0.951668977737
26,end_of_block,space,3.00391411781
27,random_event,space,0.81822013855
28,end_of_block,space,1.70238113403
29,random_event,space,1.28554415703
30,end_of_block,space,1.23531603813
31,random_event,space,1.76947712898
32,end_of_block,space,1.71913599968
33,random_event,space,4.02198791504
34,end_of_block,space,0.701608896255
35,random_event,space,0.768173933029
36,end_of_block,space,1.16853189468
37,end_of_experiment,space,0.334639072418
