,event,key,rt
0,instructions_0,space,12.5310120583
1,instructions_1,space,25.4283618927
2,instructions_2,space,36.1398899555
3,instructions_3,space,25.2947568893
4,instructions_4,space,41.996339798
5,random_event,space,6.60777902603
6,end_of_block,space,7.74258613586
7,random_event,space,5.20650410652
8,end_of_block,space,4.18850803375
9,random_event,space,3.33763194084
10,end_of_block,space,2.40344500542
11,random_event,space,3.537774086
12,end_of_block,space,3.53771519661
13,random_event,space,4.00504612923
14,end_of_block,space,3.38753795624
15,random_event,space,3.17081212997
16,end_of_block,space,1.36876606941
17,random_event,space,1.85253214836
18,end_of_block,space,2.1030831337
19,random_event,space,2.18636918068
20,end_of_block,space,1.0518040657
21,random_event,space,1.63609004021
22,end_of_block,space,1.56906318665
23,random_event,space,1.40206003189
24,end_of_block,space,2.08632302284
25,random_event,space,2.0193939209
26,end_of_block,space,2.18635201454
27,random_event,space,3.50446009636
28,end_of_block,space,1.08537578583
29,random_event,space,1.2521750927
30,end_of_block,space,1.11858510971
31,random_event,space,1.20198011398
32,end_of_block,space,1.3187289238
33,random_event,space,0.851484060287
34,end_of_block,space,1.40234303474
35,random_event,space,0.985064029694
36,end_of_block,space,1.05176687241
37,end_of_experiment,space,6.27411293983
