,event,key,rt
0,instructions_0,space,13.7666909695
1,instructions_1,space,11.079376936
2,instructions_2,space,22.875125885
3,instructions_3,space,16.2516310215
4,instructions_4,space,23.6764068604
5,random_event,space,5.30634093285
6,end_of_block,space,6.84139895439
7,random_event,space,3.52117395401
8,end_of_block,space,4.03845214844
9,random_event,space,2.9038579464
10,end_of_block,space,2.72027206421
11,random_event,space,1.96939301491
12,end_of_block,space,4.27193808556
13,random_event,space,7.97597408295
14,end_of_block,space,6.79115796089
15,random_event,space,1.96961402893
16,end_of_block,space,5.33989596367
17,random_event,space,4.85590910912
18,end_of_block,space,5.8904030323
19,random_event,space,3.82144188881
20,end_of_block,space,6.62464594841
21,random_event,space,1.25196790695
22,end_of_block,space,2.336591959
23,random_event,space,4.75579094887
24,end_of_block,space,3.62123608589
25,random_event,space,7.10837006569
26,end_of_block,space,3.87150406837
27,random_event,space,5.9236831665
28,end_of_block,space,4.87281918526
29,random_event,space,1.66899991035
30,end_of_block,space,2.90369200706
31,random_event,space,0.684986114502
32,end_of_block,space,1.90275406837
33,random_event,space,0.868230104446
34,end_of_block,space,1.73580312729
35,random_event,space,1.03511595726
36,end_of_block,space,1.48573493958
37,end_of_experiment,space,6.30750393867
