,accuracy,better_option_left,block_number,choice_key,reference_IV,reward_IV,rt,running_score_block,running_score_experiment,trial,trial_block,reference_block,reward_trial_better_option,reward_trial_worse_option
0,0.0,True,1,p,-,++,1.10174512863,-17.2,1008.8,1,1,-20.8,6.9,3.6
1,1.0,True,1,q,-,++,0.0510079860687,-10.5,1015.5,2,2,-20.8,6.7,5.2
2,1.0,True,1,q,-,++,0.251044034958,-3.0,1023.0,3,3,-20.8,7.5,5.5
3,1.0,True,1,q,-,++,0.73500585556,1.1,1027.1,4,4,-20.8,4.1,4.4
4,1.0,True,1,q,-,++,1.65234684944,8.5,1034.5,5,5,-20.8,7.4,5.5
5,1.0,True,1,q,-,++,0.551303863525,16.8,1042.8,6,6,-20.8,8.3,6.5
6,1.0,True,1,q,-,++,0.434535980225,24.3,1050.3,7,7,-20.8,7.5,3.3
7,1.0,True,1,q,-,++,0.517936944962,31.5,1057.5,8,8,-20.8,7.2,3.9
8,1.0,True,1,q,-,++,0.502228021622,35.8,1061.8,9,9,-20.8,4.3,6.9
9,1.0,True,1,q,-,++,0.584603071213,41.9,1067.9,10,10,-20.8,6.1,4.1
10,1.0,True,1,q,-,++,0.401185035706,50.1,1076.1,11,11,-20.8,8.2,6.9
11,0.0,True,1,p,-,++,0.267600059509,56.4,1082.4,12,12,-20.8,6.0,6.3
12,1.0,True,1,q,-,++,0.417877912521,64.9,1090.9,13,13,-20.8,8.5,3.8
13,1.0,True,1,q,-,++,0.284418106079,69.0,1095.0,14,14,-20.8,4.1,4.5
14,1.0,True,1,q,-,++,0.551273822784,75.6,1101.6,15,15,-20.8,6.6,4.5
15,0.0,True,1,p,-,++,0.250895023346,79.9,1105.9,16,16,-20.8,6.9,4.3
16,1.0,True,1,q,-,++,0.267602920532,87.8,1113.8,17,17,-20.8,7.9,5.3
17,1.0,True,1,q,-,++,0.417816877365,93.8,1119.8,18,18,-20.8,6.0,4.7
18,1.0,True,1,q,-,++,0.501224994659,101.4,1127.4,19,19,-20.8,7.6,4.2
19,1.0,True,1,q,-,++,0.401082992554,106.7,1132.7,20,20,-20.8,5.3,6.1
20,0.0,False,2,q,++,-,0.601135015488,111.0,1243.7,21,1,112.0,-1.0,-1.0
21,0.0,False,2,q,++,-,0.317885875702,109.8,1242.5,22,2,112.0,-0.7,-1.2
22,1.0,False,2,p,++,-,0.301054000854,109.2,1241.9,23,3,112.0,-0.6,-1.1
23,1.0,False,2,p,++,-,0.284389019012,108.4,1241.1,24,4,112.0,-0.8,-1.1
24,1.0,False,2,p,++,-,0.317656993866,107.5,1240.2,25,5,112.0,-0.9,-0.9
25,1.0,False,2,p,++,-,0.834848165512,106.7,1239.4,26,6,112.0,-0.8,-1.2
26,1.0,False,2,p,++,-,0.517824888229,106.0,1238.7,27,7,112.0,-0.7,-1.1
27,1.0,False,2,p,++,-,0.367779970169,104.9,1237.6,28,8,112.0,-1.1,-0.9
28,1.0,False,2,p,++,-,0.334314823151,103.6,1236.3,29,9,112.0,-1.3,-0.9
29,1.0,False,2,p,++,-,0.31767988205,102.8,1235.5,30,10,112.0,-0.8,-1.2
30,1.0,False,2,p,++,-,0.38437795639,101.9,1234.6,31,11,112.0,-0.9,-1.2
31,0.0,False,2,q,++,-,0.317854166031,100.8,1233.5,32,12,112.0,-0.9,-1.1
32,1.0,False,2,p,++,-,0.317692041397,99.9,1232.6,33,13,112.0,-0.9,-1.0
33,1.0,False,2,p,++,-,0.517965078354,98.8,1231.5,34,14,112.0,-1.1,-1.1
34,1.0,False,2,p,++,-,0.367839813232,97.7,1230.4,35,15,112.0,-1.1,-1.1
