,accuracy,better_option_left,block_number,choice_key,reference_IV,reward_IV,rt,running_score_block,running_score_experiment,trial,trial_block,reference_block,reward_trial_better_option,reward_trial_worse_option
0,,False,1,,+,--,3.00310897827,12.8,1038.8,1,1,19.7,-4.4,-6.9
1,,False,1,,+,--,3.00311183929,4.5,1030.5,2,2,19.7,-5.7,-8.3
2,1.0,False,1,p,+,--,1.06862616539,-0.4,1025.6,3,3,19.7,-4.9,-9.6
3,0.0,False,1,q,+,--,0.668179035187,-6.7,1019.3,4,4,19.7,-4.8,-6.3
4,1.0,False,1,p,+,--,0.935271024704,-11.7,1014.3,5,5,19.7,-5.0,-6.6
5,1.0,False,1,p,+,--,0.517789125443,-14.1,1011.9,6,6,19.7,-2.4,-8.1
6,1.0,False,1,p,+,--,0.518090963364,-16.8,1009.2,7,7,19.7,-2.7,-6.0
7,1.0,False,1,p,+,--,0.401188135147,-21.6,1004.4,8,8,19.7,-4.8,-4.7
8,1.0,False,1,p,+,--,0.368026018143,-28.4,997.6,9,9,19.7,-6.8,-7.4
9,1.0,False,1,p,+,--,0.367910861969,-32.1,993.9,10,10,19.7,-3.7,-8.1
10,1.0,False,1,p,+,--,0.484400033951,-37.5,988.5,11,11,19.7,-5.4,-6.2
11,1.0,False,1,p,+,--,0.36754989624,-41.7,984.3,12,12,19.7,-4.2,-7.8
12,1.0,False,1,p,+,--,0.651281118393,-44.6,981.4,13,13,19.7,-2.9,-5.4
13,1.0,False,1,p,+,--,0.150815010071,-50.4,975.6,14,14,19.7,-5.8,-9.6
14,1.0,False,1,p,+,--,0.217545986176,-54.9,971.1,15,15,19.7,-4.5,-6.1
15,0.0,False,1,q,+,--,0.201151132584,-62.0,964.0,16,16,19.7,-5.4,-7.1
16,1.0,False,1,p,+,--,0.201802968979,-67.0,959.0,17,17,19.7,-5.0,-7.5
17,1.0,False,1,p,+,--,0.251209974289,-71.2,954.8,18,18,19.7,-4.2,-7.4
18,1.0,False,1,p,+,--,0.317619085312,-74.4,951.6,19,19,19.7,-3.2,-7.7
19,1.0,False,1,p,+,--,0.250808000565,-81.2,944.8,20,20,19.7,-6.8,-5.8
20,1.0,True,2,q,-,++,0.651440143585,-12.9,931.9,21,1,-19.8,6.9,4.1
21,1.0,True,2,q,-,++,0.351114988327,-5.5,939.3,22,2,-19.8,7.4,3.9
22,1.0,True,2,q,-,++,0.300913095474,2.1,946.9,23,3,-19.8,7.6,5.4
23,1.0,True,2,q,-,++,0.234297990799,6.2,951.0,24,4,-19.8,4.1,4.7
24,1.0,True,2,q,-,++,0.21754193306,13.9,958.7,25,5,-19.8,7.7,5.3
25,1.0,True,2,q,-,++,0.301177978516,19.5,964.3,26,6,-19.8,5.6,7.5
26,1.0,True,2,q,-,++,0.250973939896,23.7,968.5,27,7,-19.8,4.2,6.4
27,0.0,True,2,p,-,++,0.334290027618,26.5,971.3,28,8,-19.8,6.4,2.8
28,1.0,True,2,q,-,++,0.217828035355,34.8,979.6,29,9,-19.8,8.3,4.2
29,1.0,True,2,q,-,++,0.250847816467,41.9,986.7,30,10,-19.8,7.1,4.3
30,1.0,True,2,q,-,++,0.234488964081,46.9,991.7,31,11,-19.8,5.0,3.8
31,1.0,True,2,q,-,++,0.234282016754,54.4,999.2,32,12,-19.8,7.5,4.1
32,1.0,True,2,q,-,++,0.284606933594,62.6,1007.4,33,13,-19.8,8.2,4.2
33,1.0,True,2,q,-,++,0.251975059509,70.6,1015.4,34,14,-19.8,8.0,6.6
34,1.0,True,2,q,-,++,0.184303998947,75.8,1020.6,35,15,-19.8,5.2,3.9
35,1.0,True,2,q,-,++,0.267514944077,84.5,1029.3,36,16,-19.8,8.7,3.5
36,1.0,True,2,q,-,++,0.217648029327,90.7,1035.5,37,17,-19.8,6.2,3.6
37,1.0,True,2,q,-,++,0.267855882645,99.9,1044.7,38,18,-19.8,9.2,4.3
38,1.0,True,2,q,-,++,0.25116109848,104.0,1048.8,39,19,-19.8,4.1,4.8
39,1.0,True,2,q,-,++,0.0840330123901,112.4,1057.2,40,20,-19.8,8.4,4.2
40,0.0,False,3,q,--,++,0.617866039276,-105.0,952.2,41,1,-109.0,8.1,4.0
41,0.0,False,3,q,--,++,0.200911998749,-98.6,958.6,42,2,-109.0,6.7,6.4
42,1.0,False,3,p,--,++,0.134052038193,-91.1,966.1,43,3,-109.0,7.5,2.6
43,1.0,False,3,p,--,++,0.234238862991,-85.6,971.6,44,4,-109.0,5.5,6.0
