,event,key,rt
0,instructions_0,space,21.7585859299
1,instructions_1,space,15.917787075
2,instructions_2,space,36.8237168789
3,instructions_3,space,16.9691100121
4,instructions_4,space,24.043407917
5,random_event,space,5.90702080727
6,end_of_block,space,5.0226559639
7,random_event,space,3.43775606155
8,end_of_block,space,4.38879799843
9,random_event,space,2.87068390846
10,end_of_block,space,3.65463900566
11,random_event,space,2.55342912674
12,end_of_block,space,1.96944904327
13,random_event,space,2.15298485756
14,end_of_block,space,2.36989402771
15,random_event,space,2.78704094887
16,end_of_block,space,1.68600392342
17,random_event,space,0.985226154327
18,end_of_block,space,2.55336999893
19,random_event,space,1.76909089088
20,end_of_block,space,1.66929411888
21,random_event,space,1.06848192215
22,end_of_block,space,2.2531170845
23,random_event,space,1.73586797714
24,end_of_block,space,1.53562712669
25,random_event,space,2.26993107796
26,end_of_block,space,2.18650007248
27,random_event,space,1.46884179115
28,end_of_block,space,2.70366501808
29,random_event,space,1.16887497902
30,end_of_block,space,0.834982872009
31,random_event,space,0.784888982773
32,end_of_block,space,0.951821088791
33,random_event,space,0.751568078995
34,end_of_block,space,0.784991025925
35,random_event,space,0.584597110748
36,end_of_block,space,0.918308973312
37,end_of_experiment,space,0.384433984756
