,accuracy,better_option_left,block_number,choice_key,reference_IV,reward_IV,rt,running_score_block,running_score_experiment,trial,trial_block,reference_block,reward_trial_better_option,reward_trial_worse_option
0,0.0,True,1,p,-,+,1.51997709274,-20.7,1005.3,1,1,-21.5,1.0,0.8
1,0.0,True,1,p,-,+,0.90159702301,-19.6,1006.4,2,2,-21.5,1.2,1.1
2,0.0,True,1,p,-,+,0.317668914795,-18.7,1007.3,3,3,-21.5,1.1,0.9
3,1.0,True,1,q,-,+,0.45143198967,-17.5,1008.5,4,4,-21.5,1.2,1.2
4,0.0,True,1,p,-,+,0.318742036819,-16.4,1009.6,5,5,-21.5,0.9,1.1
5,0.0,True,1,p,-,+,0.651288986206,-15.8,1010.2,6,6,-21.5,0.6,0.6
6,0.0,True,1,p,-,+,0.467790126801,-15.0,1011.0,7,7,-21.5,0.8,0.8
7,0.0,True,1,p,-,+,0.517960071564,-14.0,1012.0,8,8,-21.5,1.2,1.0
8,1.0,True,1,q,-,+,0.334561109543,-12.9,1013.1,9,9,-21.5,1.1,0.8
9,1.0,True,1,q,-,+,0.618021965027,-12.1,1013.9,10,10,-21.5,0.8,0.8
10,1.0,True,1,q,-,+,0.417777061462,-10.8,1015.2,11,11,-21.5,1.3,0.8
11,1.0,True,1,q,-,+,0.551542043686,-9.8,1016.2,12,12,-21.5,1.0,0.9
12,0.0,True,1,p,-,+,0.284169912338,-8.9,1017.1,13,13,-21.5,1.3,0.9
13,1.0,True,1,q,-,+,0.484676122665,-7.7,1018.3,14,14,-21.5,1.2,1.1
14,1.0,True,1,q,-,+,0.484525918961,-6.5,1019.5,15,15,-21.5,1.2,0.6
15,1.0,True,1,q,-,+,0.734789848328,-5.3,1020.7,16,16,-21.5,1.2,0.7
16,1.0,True,1,q,-,+,0.351007938385,-4.0,1022.0,17,17,-21.5,1.3,1.2
17,1.0,True,1,q,-,+,0.28427696228,-3.2,1022.8,18,18,-21.5,0.8,0.8
18,1.0,True,1,q,-,+,0.350930929184,-1.7,1024.3,19,19,-21.5,1.5,0.6
19,1.0,True,1,q,-,+,0.317744970322,-0.6,1025.4,20,20,-21.5,1.1,1.1
20,1.0,False,2,p,--,++,0.75145483017,-115.4,910.0,21,1,-123.0,7.6,5.1
21,0.0,False,2,q,--,++,1.13531303406,-110.1,915.3,22,2,-123.0,5.0,5.3
22,1.0,False,2,p,--,++,0.517807006836,-101.3,924.1,23,3,-123.0,8.8,1.5
23,0.0,False,2,q,--,++,0.351134777069,-96.2,929.2,24,4,-123.0,8.6,5.1
24,0.0,False,2,q,--,++,1.13540410995,-92.4,933.0,25,5,-123.0,5.7,3.8
25,0.0,False,2,q,--,++,0.350967884064,-87.3,938.1,26,6,-123.0,7.0,5.1
26,1.0,False,2,p,--,++,0.417707920074,-80.8,944.6,27,7,-123.0,6.5,7.2
27,1.0,False,2,p,--,++,0.384442806244,-73.2,952.2,28,8,-123.0,7.6,6.4
28,1.0,False,2,p,--,++,0.701439857483,-66.6,958.8,29,9,-123.0,6.6,7.0
29,1.0,False,2,p,--,++,0.384541034698,-60.2,965.2,30,10,-123.0,6.4,4.3
30,0.0,False,2,q,--,++,0.36875295639,-54.2,971.2,31,11,-123.0,5.9,6.0
31,1.0,False,2,p,--,++,0.417713165283,-46.3,979.1,32,12,-123.0,7.9,6.1
32,1.0,False,2,p,--,++,0.684742927551,-38.1,987.3,33,13,-123.0,8.2,5.4
33,1.0,False,2,p,--,++,0.701444149017,-32.0,993.4,34,14,-123.0,6.1,7.6
34,1.0,False,2,p,--,++,0.384462118149,-25.4,1000.0,35,15,-123.0,6.6,4.7
35,0.0,False,2,q,--,++,0.334410190582,-19.1,1006.3,36,16,-123.0,8.0,6.3
36,1.0,False,2,p,--,++,0.684723138809,-11.5,1013.9,37,17,-123.0,7.6,3.4
37,0.0,False,2,q,--,++,0.384384155273,-5.4,1020.0,38,18,-123.0,7.2,6.1
38,1.0,False,2,p,--,++,0.534642934799,0.9,1026.3,39,19,-123.0,6.3,5.7
39,0.0,False,2,q,--,++,0.634865045547,5.5,1030.9,40,20,-123.0,5.3,4.6
40,0.0,False,3,q,+,--,1.52013301849,13.2,1044.1,41,1,18.8,-5.6,-5.6
41,1.0,False,3,p,+,--,0.918325901031,7.1,1038.0,42,2,18.8,-6.1,-7.7
42,1.0,False,3,p,+,--,0.85179901123,2.6,1033.5,43,3,18.8,-4.5,-7.2
43,0.0,False,3,q,+,--,1.23527598381,-2.7,1028.2,44,4,18.8,-2.7,-5.3
44,0.0,False,3,q,+,--,0.634694099426,-9.6,1021.3,45,5,18.8,-4.2,-6.9
45,1.0,False,3,p,+,--,0.568102836609,-15.4,1015.5,46,6,18.8,-5.8,-8.2
46,1.0,False,3,p,+,--,0.534577846527,-19.6,1011.3,47,7,18.8,-4.2,-7.3
47,0.0,False,3,q,+,--,1.1353020668,-25.5,1005.4,48,8,18.8,-3.7,-5.9
48,1.0,False,3,p,+,--,0.634769916534,-30.2,1000.7,49,9,18.8,-4.7,-7.3
49,1.0,False,3,p,+,--,0.384530067444,-35.9,995.0,50,10,18.8,-5.7,-7.6
50,0.0,False,3,q,+,--,0.167593955994,-40.8,990.1,51,11,18.8,-5.0,-4.9
51,1.0,False,3,p,+,--,0.551305055618,-44.7,986.2,52,12,18.8,-3.9,-6.4
52,0.0,False,3,q,+,--,0.768057107925,-51.7,979.2,53,13,18.8,-5.2,-7.0
